user,questions,response
92,0,0.5566390483599285
86,2,0.5393079455121921
57,1,0.674225941016523
97,2,0.10632712078942874
48,0,0.6596018580511784
22,1,0.3338780482029834
96,2,0.5425764705217103
87,0,0.6864243334345044
87,2,0.4462684656843121
5,1,0.7773244635290723
76,0,0.6788671944780257
4,2,0.32096569215395193
60,0,0.6035900636910104
2,2,0.35945583856425223
52,1,0.41446169320504955
40,0,0.8637240840576134
49,0,0.8392156348647718
94,2,0.3969805368500832
39,1,0.7298450257756138
96,2,0.5425764705217103
81,1,0.5077107876934328
93,2,0.6753188758790591
31,2,0.6387943962523324
39,0,0.8166315720576715
42,2,0.11220572054953369
63,1,0.5661401033918827
7,2,0.39076357834638387
78,0,0.6426045629847509
25,1,0.35482295869755925
96,2,0.5425764705217103
82,2,0.03851228809183732
49,1,0.7599723583464885
46,0,0.7775633245362328
32,2,0.32174672185799214
96,1,0.6615898561673129
76,0,0.6788671944780257
44,0,0.9445178622716313
86,0,0.7607901289102981
10,0,0.30001279601103253
57,2,0.5566741293837084
50,2,0.4427928121047536
27,1,0.35690846725785474
63,1,0.5661401033918827
49,2,0.6576260838358546
34,0,0.4649694956801561
57,2,0.5566741293837084
15,2,0.3097348789476051
50,2,0.4427928121047536
50,2,0.4427928121047536
59,1,0.29498755242269
92,1,0.43242840174803454
25,2,0.25035389355436954
74,2,0.3085994850228029
19,1,0.0876980737273813
82,2,0.03851228809183732
62,0,0.6526337406090906
48,0,0.6596018580511784
14,1,0.7828085054788169
89,0,0.5727921808519393
77,0,0.5672462763915843
33,2,0.13696724203085536
83,2,0.47943887670976415
53,2,0.5556529651006645
25,1,0.35482295869755925
20,1,0.609486912689118
21,0,0.7831116855837423
22,2,0.233365861903922
69,0,0.6862985137428651
77,2,0.3256197337717979
46,1,0.6795508322149197
45,2,0.2892145252966308
23,0,0.4584661131892121
90,1,0.734024609741644
56,2,0.28592612625965924
71,1,0.5854092273956042
78,2,0.39834705880969173
88,2,0.46127748064260976
45,2,0.2892145252966308
14,1,0.7828085054788169
99,0,0.6407423693516103
89,0,0.5727921808519393
94,2,0.3969805368500832
